         25105 function calls (24878 primitive calls) in 1.300 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.000    0.000    0.000    0.000 common.py:1307(is_float_dtype)
       26    0.000    0.000    0.000    0.000 blocks.py:347(dtype)
       26    0.000    0.000    0.000    0.000 managers.py:210(ndim)
       25    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       25    0.000    0.000    0.000    0.000 _collections_abc.py:774(keys)
       25    0.000    0.000    0.000    0.000 _collections_abc.py:801(__init__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
       24    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
       24    0.000    0.000    0.000    0.000 common.py:388(is_datetime64tz_dtype)
       24    0.000    0.000    0.000    0.000 cast.py:1273(maybe_infer_to_datetimelike)
       24    0.000    0.000    0.001    0.000 cloudpickle_fast.py:511(_function_reduce)
       23    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       23    0.000    0.000    0.000    0.000 {built-in method posix.close}
       23    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
       22    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       22    0.000    0.000    0.000    0.000 util.py:186(__init__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
       21    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       21    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       20    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 multiarray.py:143(concatenate)
       20    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
       20    0.000    0.000    0.000    0.000 common.py:231(is_sparse)
       20    0.000    0.000    0.000    0.000 common.py:198(asarray_tuplesafe)
    20/10    0.000    0.000    0.001    0.000 base.py:250(__new__)
       20    0.000    0.000    0.001    0.000 base.py:5836(ensure_index)
       20    0.000    0.000    0.000    0.000 blocks.py:2672(get_block_type)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       19    0.000    0.000    1.223    0.064 threading.py:280(wait)
       18    0.000    0.000    0.000    0.000 typing.py:2020(new_type)
       18    0.000    0.000    0.000    0.000 common.py:1575(get_dtype)
       18    0.000    0.000    0.000    0.000 base.py:563(_reset_identity)
       18    0.000    0.000    0.000    0.000 base.py:1232(name)
       18    0.000    0.000    0.000    0.000 base.py:4070(_values)
       18    0.000    0.000    0.000    0.000 managers.py:320(<genexpr>)
       18    0.000    0.000    0.000    0.000 process.py:37(current_process)
       18    0.000    0.000    0.003    0.000 resource_tracker.py:188(register)
       17    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
       17    0.000    0.000    0.000    0.000 threading.py:521(__init__)
       17    0.000    0.000    0.008    0.000 threading.py:556(wait)
       16    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       16    0.000    0.000    0.000    0.000 {built-in method _imp.lock_held}
       16    0.000    0.000    0.000    0.000 __init__.py:949(__iter__)
       16    0.000    0.000    0.000    0.000 threading.py:265(_release_save)
       16    0.000    0.000    0.000    0.000 threading.py:268(_acquire_restore)
       16    0.001    0.000    0.005    0.000 {function CloudPickler.dump at 0x12878d040}
       16    0.000    0.000    0.008    0.001 iostream.py:335(flush)
       16    0.000    0.000    0.000    0.000 numerictypes.py:359(issubdtype)
       16    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_float}
       16    0.000    0.000    0.000    0.000 common.py:757(is_signed_integer_dtype)
       16    0.000    0.000    0.000    0.000 common.py:813(is_unsigned_integer_dtype)
       16    0.000    0.000    0.000    0.000 common.py:1341(is_bool_dtype)
       16    0.000    0.000    0.000    0.000 common.py:129(cast_scalar_indexer)
       16    0.000    0.000    0.000    0.000 managers.py:206(shape)
       16    0.000    0.000    0.000    0.000 context.py:354(set_spawning_popen)
       16    0.000    0.000    0.000    0.000 process.py:94(<genexpr>)
       16    0.000    0.000    0.000    0.000 process.py:99(_check_closed)
       16    0.000    0.000    0.000    0.000 process.py:189(name)
       16    0.000    0.000    0.000    0.000 process.py:213(authkey)
       16    0.000    0.000    0.000    0.000 reduction.py:173(_set_dispatch_table)
       16    0.000    0.000    0.005    0.000 reduction.py:194(__init__)
       16    0.000    0.000    0.010    0.001 reduction.py:261(dump)
       16    0.000    0.000    0.005    0.000 cloudpickle_fast.py:561(dump)
       16    0.001    0.000    0.001    0.000 cloudpickle_fast.py:595(__init__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
       15    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       15    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       15    0.000    0.000    0.000    0.000 weakref.py:162(__setitem__)
       15    0.000    0.000    0.000    0.000 weakref.py:345(__new__)
       15    0.000    0.000    0.000    0.000 weakref.py:350(__init__)
       15    0.000    0.000    0.000    0.000 tempfile.py:134(rng)
       15    0.000    0.000    0.000    0.000 tempfile.py:148(<listcomp>)
       15    0.000    0.000    0.001    0.000 tempfile.py:145(__next__)
       15    0.000    0.000    0.000    0.000 util.py:171(register_after_fork)
       14    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       14    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       14    0.000    0.000    0.000    0.000 common.py:573(is_string_dtype)
       14    0.000    0.000    0.000    0.000 common.py:1551(_is_dtype)
       14    0.000    0.000    0.000    0.000 managers.py:253(items)
       14    0.000    0.000    0.002    0.000 synchronize.py:63(__init__)
       14    0.000    0.000    0.000    0.000 synchronize.py:99(_make_methods)
       14    0.000    0.000    0.001    0.000 synchronize.py:121(_make_name)
       12    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {built-in method time.time}
       12    0.000    0.000    0.000    0.000 threading.py:351(notify)
       12    0.000    0.000    0.000    0.000 multiarray.py:1054(copyto)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
       12    0.000    0.000    0.000    0.000 numeric.py:288(full)
       12    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.000    0.000 {pandas._libs.lib.maybe_convert_objects}
       12    0.000    0.000    0.000    0.000 cast.py:1257(maybe_castable)
       12    0.000    0.000    0.000    0.000 cast.py:1642(construct_1d_ndarray_preserving_na)
       12    0.000    0.000    0.000    0.000 construction.py:354(extract_array)
       12    0.000    0.000    0.000    0.000 construction.py:423(sanitize_array)
       12    0.000    0.000    0.000    0.000 construction.py:554(_try_cast)
       12    0.000    0.000    0.000    0.000 base.py:425(_simple_new)
       12    0.000    0.000    0.000    0.000 base.py:4230(__contains__)
       12    0.000    0.000    0.000    0.000 base.py:4279(__getitem__)
       12    0.000    0.000    0.000    0.000 blocks.py:127(__init__)
       12    0.000    0.000    0.000    0.000 blocks.py:161(_check_ndim)
       12    0.000    0.000    0.000    0.000 blocks.py:202(_consolidate_key)
       12    0.000    0.000    0.000    0.000 blocks.py:269(mgr_locs)
       12    0.000    0.000    0.000    0.000 blocks.py:343(shape)
       12    0.000    0.000    0.000    0.000 managers.py:1847(<lambda>)
       12    0.000    0.000    0.000    0.000 managers.py:1863(_asarray_compat)
       12    0.000    0.000    0.000    0.000 managers.py:1911(<lambda>)
       12    0.000    0.000    0.001    0.000 construction.py:730(convert)
     12/8    0.000    0.000    0.000    0.000 agent.py:43(__init__)
       12    0.000    0.000    0.000    0.000 parallel.py:275(__len__)
       12    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
       11    0.000    0.000    0.003    0.000 genericpath.py:16(exists)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
       10    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
       10    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       10    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
       10    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
       10    0.000    0.000    0.000    0.000 {pandas._libs.lib.infer_dtype}
       10    0.000    0.000    0.000    0.000 common.py:157(ensure_python_int)
       10    0.000    0.000    0.000    0.000 base.py:5969(_maybe_cast_with_dtype)
       10    0.000    0.000    0.000    0.000 process.py:198(daemon)
      9/4    0.000    0.000    1.300    0.325 {built-in method builtins.exec}
        9    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
        9    0.015    0.002    0.015    0.002 {built-in method posix.fork}
        9    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        9    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        9    0.001    0.000    0.001    0.000 {built-in method io.open}
        9    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
        9    0.000    0.000    0.002    0.000 os.py:711(copy)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:82(add)
        9    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
        9    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
        9    0.000    0.000    0.002    0.000 context.py:319(BoundedSemaphore)
        9    0.000    0.000    0.017    0.002 fork_exec.py:36(fork_exec)
        9    0.000    0.000    0.002    0.000 synchronize.py:155(__init__)
      8/4    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        8    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        8    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
        8    0.000    0.000    0.000    0.000 {method 'getbuffer' of '_io.BytesIO' objects}
        8    0.000    0.000    0.001    0.000 os.py:1019(fdopen)
        8    0.000    0.000    0.000    0.000 signal.py:61(<genexpr>)
        8    0.000    0.000    0.000    0.000 compilerop.py:166(extra_flags)
        8    0.000    0.000    0.000    0.000 queue.py:122(put)
        8    0.000    0.000    0.000    0.000 queue.py:154(get)
        8    0.000    0.000    0.000    0.000 queue.py:209(_qsize)
        8    0.000    0.000    0.000    0.000 queue.py:213(_put)
        8    0.000    0.000    0.000    0.000 iostream.py:308(_is_master_process)
        8    0.000    0.000    0.000    0.000 iostream.py:321(_schedule_flush)
        8    0.000    0.000    0.001    0.000 iostream.py:384(write)
        8    0.000    0.000    0.000    0.000 numerictypes.py:575(_can_coerce_all)
        8    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        8    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        8    0.000    0.000    0.000    0.000 fromnumeric.py:1712(_ravel_dispatcher)
        8    0.000    0.000    0.000    0.000 fromnumeric.py:1716(ravel)
        8    0.000    0.000    0.000    0.000 fromnumeric.py:3102(_ndim_dispatcher)
        8    0.000    0.000    0.000    0.000 fromnumeric.py:3106(ndim)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ravel)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
        8    0.000    0.000    0.000    0.000 function_base.py:4686(_append_dispatcher)
        8    0.000    0.000    0.000    0.000 function_base.py:4690(append)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(append)
        8    0.000    0.000    0.000    0.000 common.py:355(is_datetime64_dtype)
        8    0.000    0.000    0.000    0.000 common.py:610(<genexpr>)
        8    0.000    0.000    0.000    0.000 common.py:1762(<genexpr>)
        8    0.000    0.000    0.000    0.000 common.py:174(<genexpr>)
        8    0.000    0.000    0.000    0.000 base.py:381(<genexpr>)
        8    0.000    0.000    0.000    0.000 frame.py:1158(__len__)
        8    0.000    0.000    0.000    0.000 generic.py:456(_get_axis_number)
        8    0.000    0.000    0.000    0.000 generic.py:545(_info_axis)
        8    0.000    0.000    0.000    0.000 blocks.py:2515(_maybe_coerce_values)
        8    0.000    0.000    0.000    0.000 blocks.py:2721(make_block)
        8    0.000    0.000    0.000    0.000 process.py:61(_cleanup)
        8    0.000    0.000    0.000    0.000 process.py:80(__init__)
        8    0.000    0.000    0.061    0.008 process.py:110(start)
        8    0.000    0.000    0.000    0.000 process.py:217(authkey)
        8    0.000    0.000    0.000    0.000 process.py:234(ident)
        8    0.000    0.000    0.000    0.000 process.py:259(__repr__)
        8    0.000    0.000    0.000    0.000 process.py:344(__reduce__)
        8    0.000    0.000    0.000    0.000 _memmapping_reducer.py:359(__reduce__)
        8    0.000    0.000    0.000    0.000 resource_tracker.py:90(getfd)
        8    0.000    0.000    0.000    0.000 process.py:17(__init__)
        8    0.000    0.000    0.060    0.007 process.py:33(_Popen)
        8    0.000    0.000    0.000    0.000 queues.py:65(__getstate__)
        8    0.000    0.000    0.000    0.000 queues.py:220(__getstate__)
        8    0.000    0.000    0.000    0.000 spawn.py:35(_check_not_importing_main)
        8    0.000    0.000    0.000    0.000 spawn.py:68(<listcomp>)
        8    0.001    0.000    0.014    0.002 spawn.py:53(get_preparation_data)
        8    0.001    0.000    0.056    0.007 popen_loky_posix.py:47(__init__)
        8    0.004    0.001    0.047    0.006 popen_loky_posix.py:122(_launch)
        8    0.001    0.000    0.003    0.000 resource_tracker.py:70(ensure_running)
        7    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        7    0.000    0.000    0.000    0.000 resource_tracker.py:134(_check_alive)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
        6    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:558(module_from_spec)
      6/4    0.000    0.000    0.014    0.003 <frozen importlib._bootstrap>:659(_load_unlocked)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      6/4    0.000    0.000    0.014    0.004 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      6/4    0.000    0.000    0.014    0.004 <frozen importlib._bootstrap>:1002(_find_and_load)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        6    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        6    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
        6    0.000    0.000    0.000    0.000 _virtualenv.py:54(find_spec)
        6    0.000    0.000    0.000    0.000 contextlib.py:86(__init__)
        6    0.000    0.000    0.000    0.000 contextlib.py:112(__enter__)
        6    0.000    0.000    0.000    0.000 contextlib.py:121(__exit__)
