         25105 function calls (24878 primitive calls) in 1.300 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 process.py:61(_cleanup)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:901(_find_spec)
       70    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      6/4    0.000    0.000    0.014    0.003 <frozen importlib._bootstrap>:659(_load_unlocked)
        2    0.000    0.000    0.000    0.000 inference.py:391(is_dataclass)
       32    0.000    0.000    0.000    0.000 connection.py:163(readable)
        5    0.000    0.000    0.000    0.000 context.py:169(_cpu_count_user)
      122    0.000    0.000    0.000    0.000 base.py:411(find)
       97    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 popen_loky_posix.py:6(<module>)
        2    0.000    0.000    0.000    0.000 parallel.py:637(__init__)
        4    0.000    0.000    0.067    0.017 _parallel_backends.py:529(apply_async)
       20    0.000    0.000    0.000    0.000 common.py:231(is_sparse)
       36    0.000    0.000    0.000    0.000 _dtype.py:321(_name_get)
        1    0.000    0.000    0.000    0.000 synchronize.py:13(<module>)
       18    0.000    0.000    0.000    0.000 base.py:563(_reset_identity)
        6    0.000    0.000    0.000    0.000 uuid.py:138(__init__)
        4    0.000    0.000    0.000    0.000 signal.py:25(_int_to_enum)
      104    0.000    0.000    0.000    0.000 cloudpickle.py:126(_whichmodule)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
       36    0.000    0.000    0.000    0.000 popen_loky_posix.py:66(poll)
        4    0.000    0.000    0.068    0.017 parallel.py:759(_dispatch)
        7    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        4    0.000    0.000    0.000    0.000 managers.py:1951(_fast_count_smallints)
        1    0.000    0.000    0.007    0.007 resource_tracker.py:18(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:334(__call__)
       44    0.000    0.000    0.000    0.000 fromnumeric.py:39(_wrapit)
       33    0.000    0.000    0.000    0.000 resource_tracker.py:179(_check_alive)
        4    0.000    0.000    0.000    0.000 range.py:85(__new__)
        4    0.000    0.000    0.000    0.000 managers.py:1923(_merge_blocks)
        9    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
        4    0.000    0.000    0.000    0.000 signal.py:58(pthread_sigmask)
       36    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_list_like}
       43    0.000    0.000    0.000    0.000 iostream.py:91(_event_pipe)
        6    0.000    0.000    0.000    0.000 managers.py:318(_verify_integrity)
      6/4    0.000    0.000    0.014    0.004 <frozen importlib._bootstrap>:1002(_find_and_load)
        3    0.000    0.000    0.000    0.000 queue.py:34(__init__)
        2    0.000    0.000    0.000    0.000 _memmapping_reducer.py:473(get_memmapping_reducers)
       40    0.000    0.000    0.000    0.000 popen_loky_posix.py:62(duplicate_for_child)
       24    0.000    0.000    0.000    0.000 cast.py:1273(maybe_infer_to_datetimelike)
