         347317 function calls (343352 primitive calls) in 17.825 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      500    0.000    0.000    0.003    0.000 connection.py:365(_send)
      500    0.001    0.000    0.004    0.000 connection.py:390(_send_bytes)
      500    0.001    0.000    0.102    0.000 reusable_executor.py:175(submit)
      500    0.001    0.000    0.006    0.000 process_executor.py:135(wakeup)
      500    0.000    0.000    0.000    0.000 process_executor.py:257(__init__)
      500    0.000    0.000    0.004    0.000 process_executor.py:1034(_start_executor_manager_thread)
      500    0.001    0.000    0.085    0.000 process_executor.py:1091(_ensure_executor_running)
      500    0.003    0.000    0.101    0.000 process_executor.py:1099(submit)
      500    0.000    0.000    0.001    0.000 synchronize.py:103(__enter__)
      500    0.000    0.000    0.001    0.000 synchronize.py:106(__exit__)
      469    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x10ff089a0}
      457    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      450    0.000    0.000    0.000    0.000 typing.py:1822(new_type)
      450    0.001    0.000    0.001    0.000 common.py:1575(get_dtype)
      450    0.001    0.000    0.001    0.000 base.py:563(_reset_identity)
      450    0.000    0.000    0.000    0.000 base.py:1232(name)
      450    0.000    0.000    0.000    0.000 base.py:4070(_values)
      450    0.000    0.000    0.000    0.000 managers.py:320(<genexpr>)
      403    0.001    0.000    0.001    0.000 os.py:693(__iter__)
      403    0.000    0.000    0.001    0.000 _collections_abc.py:719(__iter__)
      400    0.001    0.000    0.001    0.000 numerictypes.py:365(issubdtype)
      400    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_float}
      400    0.000    0.000    0.001    0.000 common.py:757(is_signed_integer_dtype)
      400    0.000    0.000    0.001    0.000 common.py:813(is_unsigned_integer_dtype)
      400    0.001    0.000    0.003    0.000 common.py:1341(is_bool_dtype)
      400    0.000    0.000    0.000    0.000 common.py:129(cast_scalar_indexer)
      400    0.001    0.000    0.002    0.000 managers.py:206(shape)
      396    0.001    0.000    0.006    0.000 cloudpickle_fast.py:443(reducer_override)
      350    0.000    0.000    0.002    0.000 common.py:573(is_string_dtype)
      350    0.000    0.000    0.001    0.000 common.py:1551(_is_dtype)
      350    0.000    0.000    0.000    0.000 managers.py:253(items)
      302    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      300    0.000    0.000    0.000    0.000 multiarray.py:1043(copyto)
      300    0.001    0.000    0.003    0.000 numeric.py:283(full)
      300    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
      300    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      300    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(copyto)
      300    0.018    0.000    0.021    0.000 {pandas._libs.lib.maybe_convert_objects}
      300    0.001    0.000    0.004    0.000 cast.py:1257(maybe_castable)
      300    0.000    0.000    0.000    0.000 cast.py:1642(construct_1d_ndarray_preserving_na)
      300    0.000    0.000    0.001    0.000 construction.py:354(extract_array)
      300    0.002    0.000    0.018    0.000 construction.py:423(sanitize_array)
      300    0.001    0.000    0.012    0.000 construction.py:554(_try_cast)
      300    0.001    0.000    0.001    0.000 base.py:425(_simple_new)
      300    0.001    0.000    0.002    0.000 base.py:4230(__contains__)
      300    0.001    0.000    0.001    0.000 base.py:4279(__getitem__)
      300    0.001    0.000    0.004    0.000 blocks.py:127(__init__)
      300    0.000    0.000    0.000    0.000 blocks.py:161(_check_ndim)
      300    0.001    0.000    0.002    0.000 blocks.py:202(_consolidate_key)
      300    0.001    0.000    0.002    0.000 blocks.py:269(mgr_locs)
      300    0.000    0.000    0.000    0.000 blocks.py:343(shape)
      300    0.000    0.000    0.000    0.000 managers.py:1847(<lambda>)
      300    0.000    0.000    0.001    0.000 managers.py:1863(_asarray_compat)
      300    0.000    0.000    0.002    0.000 managers.py:1911(<lambda>)
      300    0.001    0.000    0.028    0.000 construction.py:730(convert)
  300/200    0.001    0.000    0.017    0.000 agent.py:43(__init__)
      270    0.005    0.000    0.005    0.000 {built-in method posix.stat}
      268    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      259    0.001    0.000    0.002    0.000 resource_tracker.py:203(_send)
      257    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
      251    0.000    0.000    0.005    0.000 genericpath.py:16(exists)
