         7849740 function calls (7616040 primitive calls) in 8.259 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     30/5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       10    0.000    0.000    0.003    0.000 construction.py:555(_list_to_arrays)
       20    0.000    0.000    0.003    0.000 base.py:4175(_coerce_scalar_to_index)
       30    0.000    0.000    0.000    0.000 range.py:133(_simple_new)
       40    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
       10    0.000    0.000    0.003    0.000 managers.py:1690(create_block_manager_from_arrays)
       10    0.000    0.000    0.001    0.000 managers.py:1906(_consolidate)
       10    0.000    0.000    0.000    0.000 base.py:1250(_validate_names)
       10    0.000    0.000    0.003    0.000 construction.py:502(to_arrays)
       80    0.000    0.000    0.000    0.000 common.py:757(is_signed_integer_dtype)
       70    0.000    0.000    0.000    0.000 common.py:573(is_string_dtype)
      290    0.000    0.000    0.000    0.000 common.py:190(classes_and_not_datetimelike)
      240    0.000    0.000    0.000    0.000 managers.py:208(<genexpr>)
       80    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       30    0.000    0.000    0.000    0.000 managers.py:689(_consolidate_check)
       20    0.000    0.000    0.000    0.000 base.py:574(_engine)
       80    0.000    0.000    0.000    0.000 common.py:813(is_unsigned_integer_dtype)
       60    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
      170    0.000    0.000    0.000    0.000 base.py:600(__len__)
       20    0.000    0.000    0.001    0.000 base.py:4393(equals)
       20    0.000    0.000    0.000    0.000 base.py:3036(get_loc)
       50    0.000    0.000    0.000    0.000 base.py:5969(_maybe_cast_with_dtype)
      180    0.000    0.000    0.000    0.000 _dtype.py:36(_kind_name)
       20    0.000    0.000    0.000    0.000 indexing.py:2204(convert_to_index_sliceable)
       20    0.000    0.000    0.000    0.000 cast.py:1572(construct_1d_arraylike_from_scalar)
       10    0.000    0.000    0.000    0.000 inference.py:391(is_dataclass)
       10    0.000    0.000    0.003    0.000 agent.py:687(__init__)
       20    0.000    0.000    0.000    0.000 agent.py:1113(<listcomp>)
       20    0.000    0.000    0.000    0.000 numerictypes.py:602(find_common_type)
       60    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.000    0.000 missing.py:367(array_equivalent)
       10    0.000    0.000    0.005    0.001 concat.py:82(concat)
       40    0.000    0.000    0.000    0.000 fromnumeric.py:1693(ravel)
      130    0.000    0.000    0.000    0.000 managers.py:210(ndim)
       60    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.003    0.000 agent.py:707(<dictcomp>)
       10    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.006    0.001 construction.py:62(arrays_to_mgr)
       10    0.000    0.000    0.000    0.000 generic.py:5467(__setattr__)
      123    0.000    0.000    0.000    0.000 _asarray.py:88(asanyarray)
      230    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      230    0.000    0.000    0.000    0.000 blocks.py:265(mgr_locs)
       80    0.000    0.000    0.000    0.000 common.py:129(cast_scalar_indexer)
      160    0.000    0.000    0.000    0.000 numerictypes.py:587(<listcomp>)
       60    0.000    0.000    0.000    0.000 managers.py:1863(_asarray_compat)
       10    0.000    0.000    0.001    0.000 base.py:4330(append)
       90    0.000    0.000    0.000    0.000 managers.py:320(<genexpr>)
       30    0.000    0.000    0.000    0.000 flags.py:47(__init__)
       10    0.000    0.000    0.000    0.000 managers.py:1938(<listcomp>)
       10    0.000    0.000    0.001    0.000 concat.py:535(_get_new_axes)
       90    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1008c79a0}
       10    0.000    0.000    0.000    0.000 construction.py:655(_validate_or_indexify_columns)
       20    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.000    0.000 agent.py:742(set_env)
       10    0.000    0.000    0.000    0.000 base.py:1313(set_names)
       30    0.000    0.000    0.000    0.000 managers.py:690(<listcomp>)
       40    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
       60    0.000    0.000    0.000    0.000 construction.py:354(extract_array)
       20    0.000    0.000    0.000    0.000 base.py:2127(inferred_type)
       50    0.000    0.000    0.000    0.000 common.py:157(ensure_python_int)
       10    0.000    0.000    0.000    0.000 base.py:5947(default_index)
       20    0.000    0.000    0.002    0.000 managers.py:991(_consolidate_inplace)
       40    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(append)
       30    0.000    0.000    0.000    0.000 managers.py:132(<listcomp>)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_2d)
       10    0.000    0.000    0.000    0.000 base.py:826(copy)
       40    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ravel)
       20    0.000    0.000    0.000    0.000 common.py:170(all_none)
       20    0.000    0.000    0.000    0.000 _asarray.py:300(<setcomp>)
       60    0.000    0.000    0.000    0.000 blocks.py:161(_check_ndim)
       10    0.000    0.000    0.003    0.000 utils.py:41(create_agents)
       20    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.003    0.000 construction.py:736(<listcomp>)
      130    0.000    0.000    0.000    0.000 blocks.py:347(dtype)
       20    0.000    0.000    0.000    0.000 base.py:1875(is_floating)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       30    0.000    0.000    0.000    0.000 base.py:1239(name)
       60    0.000    0.000    0.000    0.000 managers.py:1911(<lambda>)
       20    0.000    0.000    0.000    0.000 blocks.py:288(make_block_same_class)
       40    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      130    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_scalar}
       60    0.000    0.000    0.000    0.000 cast.py:1642(construct_1d_ndarray_preserving_na)
       10    0.000    0.000    0.000    0.000 missing.py:465(_array_equivalent_object)
        1    0.000    0.000    0.000    0.000 _methods.py:167(_var)
       40    0.000    0.000    0.000    0.000 frame.py:1158(__len__)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       10    0.000    0.000    0.002    0.000 generic.py:5522(_protect_consolidate)
       20    0.000    0.000    0.000    0.000 base.py:5287(_maybe_cast_indexer)
       10    0.000    0.000    0.000    0.000 concat.py:542(_get_comb_axis)
       20    0.000    0.000    0.000    0.000 inference.py:360(is_sequence)
       10    0.000    0.000    0.001    0.000 concat.py:552(_get_concat_axis)
       20    0.000    0.000    0.000    0.000 blocks.py:2738(extend_blocks)
       40    0.000    0.000    0.000    0.000 blocks.py:2505(_maybe_coerce_values)
       20    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(bincount)
       10    0.000    0.000    0.002    0.000 managers.py:975(consolidate)
       10    0.000    0.000    0.000    0.000 generic.py:5411(__finalize__)
       30    0.000    0.000    0.000    0.000 managers.py:681(is_consolidated)
       10    0.000    0.000    0.000    0.000 base.py:1284(_set_names)
       10    0.000    0.000    0.000    0.000 api.py:109(_get_combined_index)
