         347317 function calls (343352 primitive calls) in 17.825 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       50    0.001    0.000    0.019    0.000 construction.py:333(_homogenize)
      554    0.001    0.000    0.002    0.000 _collections_abc.py:657(get)
      450    0.001    0.000    0.001    0.000 base.py:563(_reset_identity)
      500    0.001    0.000    0.013    0.000 base.py:5836(ensure_index)
      550    0.001    0.000    0.001    0.000 threading.py:81(RLock)
      150    0.001    0.000    0.001    0.000 shape_base.py:83(atleast_2d)
      100    0.001    0.000    0.001    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
     2808    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      550    0.001    0.000    0.004    0.000 agent.py:1129(<genexpr>)
       12    0.001    0.000    0.001    0.000 queues.py:65(__getstate__)
       78    0.001    0.000    0.001    0.000 {built-in method posix.waitpid}
      800    0.001    0.000    0.001    0.000 numerictypes.py:293(issubclass_)
      152    0.001    0.000    0.001    0.000 random.py:285(choice)
      100    0.001    0.000    0.005    0.000 _memmapping_reducer.py:583(register_folder_finalizer)
       50    0.001    0.000    0.032    0.001 construction.py:502(to_arrays)
      500    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(concatenate)
     1450    0.000    0.000    0.001    0.000 common.py:195(<lambda>)
       50    0.000    0.000    0.004    0.000 reusable_executor.py:105(get_reusable_executor)
      600    0.000    0.000    0.002    0.000 common.py:388(is_datetime64tz_dtype)
      100    0.000    0.000    0.064    0.001 frame.py:3231(_set_item)
     1000    0.000    0.000    0.001    0.000 queue.py:212(_put)
     1100    0.000    0.000    0.002    0.000 abc.py:96(__instancecheck__)
      100    0.000    0.000    0.066    0.001 frame.py:3147(__setitem__)
     1100    0.000    0.000    0.001    0.000 range.py:747(__len__)
      251    0.000    0.000    0.005    0.000 genericpath.py:16(exists)
       50    0.000    0.000    0.001    0.000 base.py:1250(_validate_names)
      500    0.000    0.000    0.004    0.000 process_executor.py:1034(_start_executor_manager_thread)
       12    0.000    0.000    0.001    0.000 process.py:344(__reduce__)
       12    0.000    0.000    0.002    0.000 process.py:17(__init__)
        6    0.000    0.000    0.000    0.000 connection.py:117(__init__)
       50    0.000    0.000    0.005    0.000 concat.py:35(concatenate_block_managers)
      200    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
      500    0.000    0.000   17.437    0.035 _parallel_backends.py:537(wrap_future_result)
      118    0.000    0.000    0.006    0.000 resource_tracker.py:188(register)
      200    0.000    0.000    0.002    0.000 function_base.py:4640(append)
       12    0.000    0.000    0.064    0.005 process.py:33(_Popen)
      500    0.000    0.000    0.003    0.000 connection.py:365(_send)
      300    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(copyto)
     1601    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
      100    0.000    0.000    0.016    0.000 base.py:4175(_coerce_scalar_to_index)
     1800    0.000    0.000    0.000    0.000 shape_base.py:1251(<genexpr>)
       50    0.000    0.000    0.002    0.000 _parallel_backends.py:154(_prepare_worker_env)
        1    0.000    0.000    0.000    0.000 {built-in method posix.unlink}
      146    0.000    0.000    0.000    0.000 {built-in method posix.set_inheritable}
       50    0.000    0.000    0.009    0.000 managers.py:1906(_consolidate)
      268    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       50    0.000    0.000    0.001    0.000 construction.py:655(_validate_or_indexify_columns)
     2505    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      150    0.000    0.000    0.001    0.000 range.py:133(_simple_new)
      156    0.000    0.000    0.004    0.000 cloudpickle.py:166(_is_importable_by_name)
       24    0.000    0.000    0.003    0.000 reduction.py:184(__init__)
     1254    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      550    0.000    0.000    0.000    0.000 _parallel_backends.py:285(compute_batch_size)
      850    0.000    0.000    0.001    0.000 inference.py:322(is_hashable)
       50    0.000    0.000    0.005    0.000 managers.py:1844(_multi_blockify)
      181    0.000    0.000    0.003    0.000 {built-in method builtins.next}
      400    0.000    0.000    0.001    0.000 common.py:757(is_signed_integer_dtype)
     1450    0.000    0.000    0.000    0.000 common.py:190(classes_and_not_datetimelike)
      350    0.000    0.000    0.002    0.000 common.py:573(is_string_dtype)
       50    0.000    0.000    0.024    0.000 _parallel_backends.py:486(configure)
     1000    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
      100    0.000    0.000    0.011    0.000 _memmapping_reducer.py:537(register_new_context)
      150    0.000    0.000    0.002    0.000 uuid.py:780(uuid4)
     1200    0.000    0.000    0.001    0.000 managers.py:208(<genexpr>)
        5    0.000    0.000    0.000    0.000 {built-in method io.open_code}
       31    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
       50    0.000    0.000    0.003    0.000 range.py:694(_concat)
       50    0.000    0.000    0.018    0.000 managers.py:1690(create_block_manager_from_arrays)
      850    0.000    0.000    0.000    0.000 base.py:600(__len__)
       51    0.000    0.000    0.001    0.000 queue.py:33(__init__)
      250    0.000    0.000    0.002    0.000 base.py:5969(_maybe_cast_with_dtype)
      900    0.000    0.000    0.000    0.000 _dtype.py:36(_kind_name)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      400    0.000    0.000    0.001    0.000 common.py:813(is_unsigned_integer_dtype)
      100    0.000    0.000    0.003    0.000 base.py:4393(equals)
       50    0.000    0.000    0.000    0.000 generic.py:5467(__setattr__)
      150    0.000    0.000    0.001    0.000 managers.py:689(_consolidate_check)
      100    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      100    0.000    0.000    0.003    0.000 base.py:3036(get_loc)
      100    0.000    0.000    0.001    0.000 base.py:574(_engine)
      500    0.000    0.000    0.001    0.000 synchronize.py:103(__enter__)
      100    0.000    0.000    0.001    0.000 cast.py:1572(construct_1d_arraylike_from_scalar)
      781    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      156    0.000    0.000    0.001    0.000 cloudpickle.py:123(_whichmodule)
       50    0.000    0.000    0.003    0.000 _memmapping_reducer.py:612(_unlink_temporary_resources)
       50    0.000    0.000    0.000    0.000 disk.py:42(memstr_to_bytes)
      100    0.000    0.000    0.000    0.000 agent.py:201(__init__)
       50    0.000    0.000    0.000    0.000 inference.py:391(is_dataclass)
      100    0.000    0.000    0.002    0.000 indexing.py:2204(convert_to_index_sliceable)
      300    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
       50    0.000    0.000    0.018    0.000 agent.py:689(__init__)
      101    0.000    0.000    0.000    0.000 posixpath.py:71(join)
       50    0.000    0.000    0.003    0.000 _parallel_backends.py:501(effective_n_jobs)
      152    0.000    0.000    0.000    0.000 random.py:250(_randbelow_with_getrandbits)
       12    0.000    0.000    0.002    0.000 resource_tracker.py:70(ensure_running)
       13    0.000    0.000    0.001    0.000 __init__.py:223(_releaseLock)
      500    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
      146    0.000    0.000    0.001    0.000 _posix_reduction.py:28(_mk_inheritable)
      100    0.000    0.000    0.002    0.000 numerictypes.py:602(find_common_type)
      156    0.000    0.000    0.001    0.000 pickle.py:322(_getattribute)
      650    0.000    0.000    0.000    0.000 managers.py:210(ndim)
      500    0.000    0.000    0.001    0.000 synchronize.py:106(__exit__)
      469    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x10ff089a0}
      700    0.000    0.000    0.000    0.000 {built-in method time.time}
       50    0.000    0.000    0.024    0.000 parallel.py:718(_initialize_backend)
      600    0.000    0.000    0.000    0.000 queue.py:208(_qsize)
     1601    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
     1500    0.000    0.000    0.000    0.000 parallel.py:265(__len__)
     1200    0.000    0.000    0.000    0.000 shape_base.py:1165(_tile_dispatcher)
       50    0.000    0.000    0.017    0.000 agent.py:709(<dictcomp>)
       50    0.000    0.000    0.004    0.000 _parallel_backends.py:546(terminate)
       50    0.000    0.000    0.037    0.001 construction.py:62(arrays_to_mgr)
      500    0.000    0.000    0.000    0.000 functools.py:64(wraps)
      457    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      200    0.000    0.000    0.001    0.000 fromnumeric.py:1693(ravel)
       50    0.000    0.000    0.001    0.000 parallel.py:76(get_active_backend)
       84    0.000    0.000    0.000    0.000 synchronize.py:109(__getstate__)
      500    0.000    0.000    0.000    0.000 queue.py:216(_get)
      500    0.000    0.000    0.000    0.000 process_executor.py:257(__init__)
      200    0.000    0.000    0.000    0.000 {method '_acquire_restore' of '_thread.RLock' objects}
       50    0.000    0.000    0.032    0.001 concat.py:82(concat)
      300    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     1201    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      500    0.000    0.000    0.000    0.000 parallel.py:333(__init__)
       50    0.000    0.000    0.000    0.000 agent.py:744(set_env)
       50    0.000    0.000    0.009    0.000 _memmapping_reducer.py:518(__init__)
       50    0.000    0.000    0.018    0.000 executor.py:19(get_memmapping_executor)
       19    0.000    0.000    0.001    0.000 util.py:171(register_after_fork)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       50    0.000    0.000    0.000    0.000 _parallel_backends.py:280(__init__)
      403    0.000    0.000    0.001    0.000 _collections_abc.py:719(__iter__)
     1150    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       50    0.000    0.000    0.000    0.000 logger.py:39(short_format_time)
       50    0.000    0.000    0.000    0.000 _memmapping_reducer.py:338(__init__)
       18    0.000    0.000    0.003    0.000 synchronize.py:121(_make_name)
     1150    0.000    0.000    0.000    0.000 blocks.py:265(mgr_locs)
       50    0.000    0.000    0.001    0.000 _memmapping_reducer.py:473(get_memmapping_reducers)
       50    0.000    0.000    0.003    0.000 base.py:4330(append)
      800    0.000    0.000    0.000    0.000 numerictypes.py:587(<listcomp>)
       13    0.000    0.000    0.006    0.000 synchronize.py:155(__init__)
      554    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
