         7849740 function calls (7616040 primitive calls) in 8.259 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      160    0.000    0.000    0.000    0.000 numerictypes.py:293(issubclass_)
      160    0.000    0.000    0.000    0.000 numerictypes.py:587(<listcomp>)
      150    0.000    0.000    0.000    0.000 base.py:5953(maybe_extract_name)
      140    0.000    0.000    0.000    0.000 _internal.py:830(npy_ctypes_check)
      140    0.001    0.000    0.002    0.000 cast.py:1379(maybe_cast_to_datetime)
      130    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      130    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_scalar}
      130    0.000    0.000    0.000    0.000 common.py:703(is_integer_dtype)
      130    0.000    0.000    0.000    0.000 common.py:1307(is_float_dtype)
      130    0.000    0.000    0.000    0.000 blocks.py:347(dtype)
      130    0.000    0.000    0.000    0.000 managers.py:210(ndim)
      123    0.000    0.000    0.000    0.000 _asarray.py:88(asanyarray)
      120    0.000    0.000    0.000    0.000 common.py:388(is_datetime64tz_dtype)
      120    0.000    0.000    0.001    0.000 cast.py:1273(maybe_infer_to_datetimelike)
  120/100    0.000    0.000    0.003    0.000 agent.py:41(__init__)
      100    0.000    0.000    0.000    0.000 common.py:231(is_sparse)
      100    0.000    0.000    0.001    0.000 common.py:198(asarray_tuplesafe)
   100/50    0.001    0.000    0.007    0.000 base.py:250(__new__)
      100    0.000    0.000    0.002    0.000 base.py:5836(ensure_index)
      100    0.000    0.000    0.002    0.000 blocks.py:2662(get_block_type)
       90    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1008c79a0}
       90    0.000    0.000    0.000    0.000 typing.py:1822(new_type)
       90    0.000    0.000    0.000    0.000 common.py:1575(get_dtype)
       90    0.000    0.000    0.000    0.000 base.py:563(_reset_identity)
       90    0.000    0.000    0.000    0.000 base.py:1232(name)
       90    0.000    0.000    0.000    0.000 base.py:4070(_values)
       90    0.000    0.000    0.000    0.000 managers.py:320(<genexpr>)
       80    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       80    0.000    0.000    0.000    0.000 numerictypes.py:365(issubdtype)
       80    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_float}
       80    0.000    0.000    0.000    0.000 common.py:757(is_signed_integer_dtype)
       80    0.000    0.000    0.000    0.000 common.py:813(is_unsigned_integer_dtype)
       80    0.000    0.000    0.001    0.000 common.py:1341(is_bool_dtype)
       80    0.000    0.000    0.000    0.000 common.py:129(cast_scalar_indexer)
       80    0.000    0.000    0.000    0.000 managers.py:206(shape)
       80    0.000    0.000    0.009    0.000 agent.py:74(reset)
       70    0.000    0.000    0.000    0.000 common.py:573(is_string_dtype)
       70    0.000    0.000    0.000    0.000 common.py:1551(_is_dtype)
       70    0.000    0.000    0.000    0.000 managers.py:253(items)
       60    0.000    0.000    0.000    0.000 multiarray.py:1043(copyto)
       60    0.000    0.000    0.000    0.000 numeric.py:283(full)
       60    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
       60    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       60    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
       60    0.001    0.000    0.002    0.000 {pandas._libs.lib.maybe_convert_objects}
       60    0.000    0.000    0.001    0.000 cast.py:1257(maybe_castable)
       60    0.000    0.000    0.000    0.000 cast.py:1642(construct_1d_ndarray_preserving_na)
       60    0.000    0.000    0.000    0.000 construction.py:354(extract_array)
       60    0.000    0.000    0.003    0.000 construction.py:423(sanitize_array)
       60    0.000    0.000    0.002    0.000 construction.py:554(_try_cast)
       60    0.000    0.000    0.000    0.000 base.py:425(_simple_new)
       60    0.000    0.000    0.000    0.000 base.py:4230(__contains__)
       60    0.000    0.000    0.000    0.000 base.py:4279(__getitem__)
       60    0.000    0.000    0.001    0.000 blocks.py:127(__init__)
       60    0.000    0.000    0.000    0.000 blocks.py:161(_check_ndim)
       60    0.000    0.000    0.000    0.000 blocks.py:202(_consolidate_key)
       60    0.000    0.000    0.000    0.000 blocks.py:269(mgr_locs)
       60    0.000    0.000    0.000    0.000 blocks.py:343(shape)
       60    0.000    0.000    0.000    0.000 managers.py:1847(<lambda>)
       60    0.000    0.000    0.000    0.000 managers.py:1863(_asarray_compat)
       60    0.000    0.000    0.000    0.000 managers.py:1911(<lambda>)
       60    0.000    0.000    0.003    0.000 construction.py:730(convert)
       50    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       50    0.000    0.000    0.001    0.000 {pandas._libs.lib.infer_dtype}
       50    0.000    0.000    0.000    0.000 common.py:157(ensure_python_int)
       50    0.000    0.000    0.000    0.000 base.py:5969(_maybe_cast_with_dtype)
       50    0.000    0.000    0.000    0.000 agent.py:199(__init__)
       50    0.001    0.000    0.011    0.000 agent.py:418(__init__)
       40    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       40    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
